iter	Passed	Remaining
676	6084	2902
677	6091	2892
678	6098	2883
679	6106	2873
680	6113	2863
681	6121	2854
682	6128	2844
683	6136	2834
684	6143	2825
685	6151	2815
686	6159	2806
687	6166	2796
688	6174	2786
689	6181	2777
690	6188	2767
691	6195	2757
692	6203	2747
693	6210	2738
694	6217	2728
695	6224	2718
696	6232	2709
697	6240	2699
698	6247	2690
699	6257	2681
700	6266	2672
701	6275	2664
702	6283	2654
703	6292	2645
704	6301	2636
705	6310	2627
706	6319	2618
707	6328	2609
708	6338	2601
709	6346	2592
710	6354	2583
711	6363	2573
712	6374	2565
713	6384	2557
714	6395	2549
715	6405	2540
716	6413	2531
717	6423	2522
718	6430	2513
719	6437	2503
720	6445	2494
721	6453	2484
722	6460	2475
723	6467	2465
724	6475	2456
725	6482	2446
726	6490	2437
727	6497	2427
728	6504	2418
729	6512	2408
730	6520	2399
731	6527	2389
732	6534	2380
733	6542	2370
734	6549	2361
735	6556	2351
736	6564	2342
737	6571	2333
738	6579	2323
739	6587	2314
740	6595	2305
741	6604	2296
742	6613	2287
743	6622	2278
744	6630	2269
745	6637	2260
746	6645	2250
747	6653	2241
748	6661	2232
749	6670	2223
750	6678	2214
751	6685	2204
752	6694	2195
753	6702	2186
754	6710	2177
755	6719	2168
756	6727	2159
757	6736	2150
758	6744	2141
759	6752	2132
760	6761	2123
761	6770	2114
762	6779	2105
763	6787	2096
764	6796	2087
765	6804	2078
766	6813	2069
767	6821	2060
768	6830	2051
769	6838	2042
770	6847	2033
771	6856	2025
772	6864	2015
773	6872	2006
774	6880	1997
775	6887	1988
776	6895	1979
777	6903	1969
778	6911	1960
779	6919	1951
780	6927	1942
781	6935	1933
782	6943	1924
783	6951	1915
784	6958	1905
785	6965	1896
786	6972	1887
787	6979	1877
788	6987	1868
789	6994	1859
790	7003	1850
791	7010	1841
792	7018	1832
793	7026	1822
794	7033	1813
795	7042	1804
796	7050	1795
797	7058	1786
798	7066	1777
799	7075	1768
800	7083	1759
801	7092	1751
802	7100	1742
803	7109	1733
804	7116	1723
805	7124	1714
806	7132	1705
807	7140	1696
808	7147	1687
809	7155	1678
810	7163	1669
811	7172	1660
812	7180	1651
813	7188	1642
814	7195	1633
815	7203	1624
816	7210	1615
817	7218	1606
818	7225	1596
819	7232	1587
820	7240	1578
821	7248	1569
822	7255	1560
823	7263	1551
824	7272	1542
825	7279	1533
826	7288	1524
827	7296	1515
828	7305	1506
829	7313	1497
830	7321	1489
831	7329	1480
832	7338	1471
833	7346	1462
834	7354	1453
835	7363	1444
836	7371	1435
837	7379	1426
838	7387	1417
839	7395	1408
840	7403	1399
841	7410	1390
842	7418	1381
843	7426	1372
844	7434	1363
845	7441	1354
846	7450	1345
847	7458	1336
848	7466	1327
849	7474	1319
850	7482	1310
851	7490	1301
852	7499	1292
853	7506	1283
854	7513	1274
855	7521	1265
856	7528	1256
857	7536	1247
858	7543	1238
859	7551	1229
860	7559	1220
861	7567	1211
862	7574	1202
863	7582	1193
864	7590	1184
865	7598	1175
866	7606	1166
867	7614	1157
868	7621	1148
869	7629	1140
870	7637	1131
871	7646	1122
872	7653	1113
873	7662	1104
874	7670	1095
875	7677	1086
876	7685	1077
877	7693	1069
878	7700	1060
879	7708	1051
880	7716	1042
881	7723	1033
882	7731	1024
883	7738	1015
884	7746	1006
885	7754	997
886	7762	988
887	7769	979
888	7777	971
889	7785	962
890	7793	953
891	7800	944
892	7808	935
893	7815	926
894	7823	917
895	7831	908
896	7838	900
897	7847	891
898	7854	882
899	7862	873
900	7871	864
901	7880	856
902	7889	847
903	7898	838
904	7908	830
905	7916	821
906	7925	812
907	7935	803
908	7942	795
909	7949	786
910	7958	777
911	7966	768
912	7974	759
913	7982	751
914	7991	742
915	7998	733
916	8007	724
917	8015	715
